frame,x,y,score
6140,10.0,864.0,0.1471
6140,32.0,804.0,0.3724
6140,32.0,854.0,0.2414
6140,38.0,746.0,0.3476
6140,52.0,802.0,0.3827
6141,14.0,864.0,0.2089
6141,32.0,806.0,0.3721
6141,34.0,854.0,0.2817
6141,40.0,748.0,0.4428
6141,52.0,806.0,0.3603
6142,16.0,864.0,0.2574
6142,34.0,852.0,0.2301
6142,38.0,810.0,0.3391
6142,42.0,750.0,0.366
6142,54.0,806.0,0.2045
6143,0.0,906.0,0.1145
6143,18.0,864.0,0.3662
6143,36.0,854.0,0.222
6143,40.0,812.0,0.3624
6143,44.0,754.0,0.2854
6143,58.0,806.0,0.2328
6144,20.0,868.0,0.3234
6144,40.0,858.0,0.2193
6144,40.0,864.0,0.2234
6144,42.0,816.0,0.3131
6144,44.0,758.0,0.2055
6144,60.0,806.0,0.2999
6145,0.0,908.0,0.1396
6145,22.0,874.0,0.1816
6145,40.0,864.0,0.3128
6145,44.0,818.0,0.3117
6145,48.0,762.0,0.1547
6145,62.0,812.0,0.2687
6146,0.0,910.0,0.1264
6146,8.0,910.0,0.1362
6146,24.0,876.0,0.2015
6146,42.0,866.0,0.286
6146,44.0,820.0,0.3659
6146,52.0,764.0,0.2856
6146,68.0,818.0,0.3207
6147,16.0,912.0,0.1535
6147,24.0,878.0,0.1871
6147,44.0,868.0,0.2824
6147,46.0,822.0,0.327
6147,52.0,766.0,0.4072
6147,68.0,820.0,0.3861
6148,16.0,910.0,0.1297
6148,26.0,880.0,0.1894
6148,46.0,868.0,0.2902
6148,48.0,826.0,0.3444
6148,54.0,766.0,0.2723
6148,70.0,822.0,0.3807
6149,16.0,912.0,0.1083
6149,30.0,882.0,0.2206
6149,48.0,870.0,0.2899
6149,50.0,830.0,0.3526
6149,72.0,822.0,0.2919
6150,36.0,880.0,0.2486
6150,48.0,874.0,0.2304
6150,54.0,834.0,0.3004
6150,58.0,776.0,0.142
6150,74.0,826.0,0.1983
