frame,x,y,score
934,752.0,232.0,0.5076
935,754.0,232.0,0.5352
936,756.0,234.0,0.541
937,758.0,234.0,0.5391
938,760.0,234.0,0.5128
939,762.0,236.0,0.5211
940,764.0,236.0,0.5037
941,766.0,236.0,0.4698
942,768.0,238.0,0.4567
943,772.0,238.0,0.4578
944,774.0,238.0,0.4503
945,776.0,240.0,0.4732
946,778.0,240.0,0.4733
947,778.0,242.0,0.4945
948,780.0,242.0,0.4659
949,784.0,244.0,0.3907
950,784.0,246.0,0.4627
951,788.0,246.0,0.5025
952,790.0,248.0,0.5358
953,794.0,248.0,0.5152
954,796.0,250.0,0.5434
955,798.0,250.0,0.5024
956,800.0,252.0,0.5176
957,802.0,252.0,0.5175
958,804.0,252.0,0.4876
959,806.0,254.0,0.4756
960,808.0,254.0,0.4882
961,810.0,254.0,0.5065
962,814.0,256.0,0.5159
963,816.0,256.0,0.4791
964,818.0,258.0,0.4741
965,818.0,260.0,0.472
966,820.0,260.0,0.4926
967,822.0,262.0,0.5232
968,824.0,262.0,0.5464
969,826.0,264.0,0.5392
970,828.0,264.0,0.4721
971,832.0,264.0,0.4896
972,836.0,266.0,0.537
973,838.0,266.0,0.4866
974,838.0,268.0,0.526
975,840.0,268.0,0.5075
976,840.0,268.0,0.4751
977,842.0,270.0,0.4388
978,844.0,270.0,0.3523
979,848.0,270.0,0.374
980,850.0,272.0,0.4097
981,852.0,272.0,0.3384
982,854.0,274.0,0.3704
983,854.0,274.0,0.4509
984,856.0,276.0,0.5094
985,858.0,276.0,0.4071
986,864.0,278.0,0.4732
987,864.0,280.0,0.5419
988,866.0,280.0,0.5342
989,868.0,280.0,0.5445
990,870.0,282.0,0.5422
991,870.0,282.0,0.5266
992,872.0,284.0,0.5233
993,874.0,284.0,0.5415
994,876.0,284.0,0.4961
995,880.0,284.0,0.4747
996,880.0,286.0,0.4667
997,884.0,286.0,0.486
998,886.0,288.0,0.4746
999,888.0,288.0,0.4572
1000,888.0,290.0,0.4945
1001,888.0,290.0,0.5136
1002,892.0,292.0,0.5179
1003,896.0,292.0,0.5212
1004,898.0,294.0,0.4963
1005,900.0,296.0,0.5183
1006,900.0,296.0,0.5566
1007,902.0,296.0,0.5669
1008,904.0,296.0,0.529
1009,906.0,298.0,0.5313
1010,908.0,298.0,0.5239
1011,912.0,300.0,0.5152
1012,914.0,300.0,0.5288
1013,914.0,300.0,0.4858
1014,916.0,302.0,0.51
1015,918.0,302.0,0.4875
1016,918.0,302.0,0.4566
1017,922.0,302.0,0.4432
1018,922.0,304.0,0.4688
1019,926.0,304.0,0.4543
1020,928.0,306.0,0.47
1021,930.0,306.0,0.4896
1022,932.0,308.0,0.4876
1023,934.0,308.0,0.5285
1024,934.0,310.0,0.5114
1025,938.0,310.0,0.5168
1026,940.0,312.0,0.4949
1027,942.0,312.0,0.4835
1028,944.0,312.0,0.4921
1029,946.0,314.0,0.5161
1030,950.0,314.0,0.509
1031,950.0,316.0,0.5012
1032,952.0,316.0,0.4833
1033,952.0,316.0,0.4448
1034,954.0,316.0,0.2365
1035,954.0,316.0,0.2802
1036,960.0,318.0,0.4372
1037,962.0,320.0,0.4277
1038,964.0,320.0,0.4718
1039,964.0,322.0,0.4688
1040,966.0,322.0,0.4839
1550,980.0,772.0,0.4228
1551,978.0,772.0,0.369
1552,976.0,772.0,0.4202
1553,976.0,772.0,0.4445
1554,974.0,770.0,0.388
1555,972.0,770.0,0.4278
1556,970.0,768.0,0.4195
1557,970.0,768.0,0.2813
1558,966.0,768.0,0.3486
1559,964.0,766.0,0.3048
1560,964.0,766.0,0.3297
1561,964.0,764.0,0.4327
1562,962.0,764.0,0.4352
1563,960.0,764.0,0.4384
1564,958.0,764.0,0.3598
1565,956.0,762.0,0.4095
1566,956.0,762.0,0.4164
1567,954.0,762.0,0.4578
1568,954.0,760.0,0.4237
1569,952.0,760.0,0.4651
1570,950.0,760.0,0.3984
1571,948.0,760.0,0.4675
1572,946.0,758.0,0.4724
1573,944.0,758.0,0.468
1574,942.0,758.0,0.4764
1575,942.0,756.0,0.5134
1576,940.0,756.0,0.4762
1577,938.0,756.0,0.4402
1578,936.0,756.0,0.4175
1579,934.0,754.0,0.268
1580,934.0,754.0,0.2163
1581,932.0,752.0,0.3867
1582,930.0,752.0,0.463
1583,930.0,752.0,0.4199
1584,928.0,752.0,0.3845
1585,926.0,750.0,0.3886
1586,924.0,750.0,0.3299
1587,922.0,748.0,0.4217
1588,922.0,748.0,0.4061
1589,920.0,748.0,0.4279
1590,918.0,748.0,0.4431
1591,916.0,748.0,0.4523
1592,916.0,746.0,0.4207
1593,912.0,744.0,0.4759
1594,912.0,742.0,0.4434
